	Reacciones	FlujosC3
0	10FTHF7GLUtl	0.0
1	10FTHF7GLUtm	0.0
2	10FTHFtl	0.0
3	10FTHFtm	0.0
4	11DOCRTSLtm	0.0
5	11DOCRTSLtr	0.0
6	11DOCRTSTRNtm	0.0
7	11DOCRTSTRNtr	0.0
8	13DAMPPOX	0.0
9	24NPHte	0.0
10	25HVITD2tin_m	0.0
11	25HVITD3tin_m	0.0
12	25VITD2Hm	0.0
13	25VITD3Hm	0.0
14	2AMACHYD	0.0
15	2AMADPTm	0.0
16	2DR1PP	0.0
17	2HBO	33.49599258340497
18	2HBt2	0.0
19	2HCO3_NAt	0.0
20	2OXOADOXm	0.0
21	2OXOADPTm	0.0
22	34DHOXPEGOX	0.0
23	34DHOXPEGt	0.0
24	34DHPHAMT	0.0
25	34DHPLACOX	0.0
26	34DHPLACOX_NADP_	0.0
27	34DHXMANDACOX	0.0
28	34DHXMANDACOX_NADP_	0.0
29	34HPLFM	0.0
30	34HPPOR	0.0
31	35CGMPtn	0.0
32	3AIBTm	1000.0000000000001
33	3AIBtmi	1000.0
34	3DPHBH1	0.0
35	3DSPHR	0.0
36	3HAO	0.0
37	3HBCDm	0.0
38	3HBCOAHLm	0.0
39	3HKYNAKGAT	0.0
40	3HLYTCL	0.0
41	3M4HDXPAC	0.0
42	3MLDAt	0.0
43	3MOX4HOXPGALDOX	0.0
44	3MOX4HOXPGALDOX_NADP_	0.0
45	3MOXTYROX	0.0
46	3SALAASPm	0.0
47	3SALACBOXL	0.0
48	3SALAOX	0.0
49	3SALATAi	56.150067390613636
50	3SALATAim	0.0
51	3SPYRSP	56.15006739061364
52	3SPYRSPm	0.0
53	41R1H2MAE12BOOX	0.0
54	41R2A1H12BOOX	0.0
55	42A12BOOX	0.0
56	4ABUTtm	0.0
57	4HBZCOAFm	0.0
58	4HBZFm	0.0
59	4HGLSDm	0.0
60	4HOXPACDOX_NADP_	0.0
61	4MOPt2im	0.0
62	4MPTNLte	0.0
63	4MPTNLtm	0.0
64	4NPHSFte	0.0
65	4NPHSULT	0.0
66	4NPHte	0.0
67	4PYRDX	0.0
68	5ADTSTSTERONESte	0.0
69	5ADTSTSTERONESULT	0.0
70	5ADTSTSTERONEtr	0.0
71	5AOPtm	0.0
72	5FTHFt2	0.0
73	5HLTDL	0.0
74	5HOXINDACTO2OX	0.0
75	5HTRPVESSEC	0.0
76	5MTHFt	813.8433533251178
77	5MTHFt2	-919.9074503123804
78	7DHFtl	0.0
79	7DHFtm	0.0
80	7THFtl	0.0
81	7THFtm	0.0
82	A_MANASEly	0.0
83	A4GALTc	0.0
84	A4GALTg	0.0
85	A4GNT1g	0.0
86	A4GNT2g	0.0
87	AACTOOR	0.0
88	AACTtm	0.0
89	AATAi	0.0
90	ABTArm	0.0
91	ABTD	0.0
92	ABUTt2rL	0.0
93	ABUTt4_2_r	0.0
94	ACACT10m	0.0
95	ACACT1rm	0.0
96	ACACT1x	0.0
97	ACACt2m	0.0
98	ACACT4p	-6.9463931029941254e-15
99	ACACT5p	0.0
100	ACACT6p	0.0
101	ACACT7p	0.0
102	ACACT8p	0.0
103	ACACT9p	0.0
104	ACACtx	0.0
105	ACALDtm	0.0
106	ACALDtr	0.0
107	ACALDtx	0.0
108	ACCOACm	4.755607067153566e-13
109	ACCOAgt	0.0
110	ACCOALm	0.0
111	ACCOAtr	0.0
112	ACETONEt2m	0.0
113	ACGAGBSIDEtg	0.0
114	ACGAGBSIDEtl	0.0
115	ACGALtly	0.0
116	ACGAM6PSi	0.0
117	ACGAMK	0.0
118	ACGAMPM	0.0
119	ACGAMtly	0.0
120	ACGPID	0.0
121	ACGSm	0.0
122	ACHEe	0.0
123	ACITL	0.0
124	ACNACNGAL14ACGLCGALGLUSIDEte	0.0
125	ACNAM9PL	0.0
126	ACNAM9PL2	0.0
127	ACNAMlt	0.0
128	ACNAMPH	0.0
129	ACNGALACGLCGAL14ACGLCGALGLUSIDEte	0.0
130	ACOAD10m	0.0
131	ACOAD1fm	0.0
132	ACOAD8m	0.0
133	ACOAD9m	0.0
134	ACOAO7p	0.0
135	ACONTm	52.596647844706055
136	ACOX22x	0.0
137	ACOX2x	0.0
138	ACP1_FMN_	0.0
139	ACRNtm	0.0
140	ACS2	0.0
141	ACSm	0.0
142	ACtg	0.0
143	ACTLMO	541.5216287056941
144	ACTNMO	0.0
145	ADA	0.0
146	ADAe	0.0
147	ADCim	0.0
148	ADEt	-2.1027511530928976e-13
149	ADK1m	0.0
150	ADK3	0.0
151	ADK3m	0.0
152	ADKd	0.0
153	ADMDC	0.0
154	ADNCYC	0.0
155	ADNK1m	0.0
156	ADNt	2.1027511530928973e-13
157	ADNtl	0.0
158	ADNtm	0.0
159	ADPMAN	0.0
160	ADPRIBt	0.0
161	ADRNCPT1	0.0
162	ADRNCPT2	0.0
163	ADRNCRNt	0.0
164	ADSK	0.0
165	ADSL1	0.0
166	ADSL2	0.0
167	AFLATOXINte	0.0
168	AG13T1g	0.0
169	AG13T2g	0.0
170	AG13T3g	0.0
171	AGMTm	0.0
172	AGPAT1	0.0
173	AGTim	0.0
174	AHEXASE2ly	0.0
175	AHEXASEly	0.0
176	AIRCr	0.0
177	AKGDm	1000.0
178	AKGMALtm	0.0
179	AKGt4_3	33.49599258340497
180	AKR1C1	0.0
181	ALASm	0.0
182	ALATA_L	-122.42382861680905
183	ALAtN1	0.0
184	ALCD21_D	0.0
185	ALCD21_L	0.0
186	ALCD22_D	0.0
187	ALCD22_L	0.0
188	ALCD2if	0.0
189	ALCD2yf	0.0
190	ALDD20x	0.0
191	ALDD20xm	0.0
192	ALDD21	0.0
193	ALDD2xm	0.0
194	ALDD2y	0.0
195	ALDSTRNte	0.0
196	ALDSTRNtm	0.0
197	ALOX12	0.0
198	ALOX15	0.0
199	ALOX5	0.0
200	ALOX52	0.0
201	ALR2	541.5216287056941
202	ALR3	0.0
203	AMACRp	0.0
204	AMETt2m	0.0
205	AMPDA	8.744697541983848
206	AMPTASECGe	363.61541807642504
207	AMY1e	0.0
208	AMY2e	0.0
209	ANDRSTRNtr	0.0
210	AOBUTDsm	0.0
211	APAT2rm	0.0
212	APOCF	0.0
213	APOCFm	0.0
214	APOC_LYS_BTNP	0.0
215	APOC_LYS_BTNPm	0.0
216	APRTO2	0.0
217	ARAB_Lt	0.0
218	ARABR	0.0
219	ARACHCOAtx	0.0
220	ARACHCPT1	0.0
221	ARACHCPT2	0.0
222	ARACHCRNt	0.0
223	ARACHDCOAtx	0.0
224	ARACHDt2	0.0
225	ARACHDtr	0.0
226	ARGDCm	0.0
227	ARGLYSex	0.0
228	ARGNm	0.0
229	ARGSS	0.0
230	ARGtm	0.0
231	R_group_phosphotase_1	0.0
232	R_group_phosphotase_2	0.0
233	R_group_phosphotase_3	0.0
234	ARTFR208	0.0
235	ARTPLM3m	0.0
236	ASAH1	0.0
237	ASCBt4	0.0
238	ASNNm	0.0
239	ASNS1	0.0
240	ASNtm	0.0
241	ASNtN1	0.0
242	ASPCTr	0.0
243	ASPDt6	0.0
244	ASPDxt	0.0
245	ASPGLUm	0.0
246	ASPTAm	0.0
247	ATP1ter	0.0
248	ATP2ter	0.0
249	ATPH1e	0.0
250	ATPH2e	0.0
251	ATPtm	999.9999999999998
252	ATPtn	3.8256872595919166e-14
253	B_MANNASEly	0.0
254	B3GALT3g	0.0
255	B3GALT41g	0.0
256	B3GALT42g	0.0
257	B3GALT43g	0.0
258	B3GALT44g	0.0
259	BACCL	0.0
260	BACCLm	0.0
261	BALAtmr	0.0
