	Reacciones	FlujosN3
0	10FTHF7GLUtl	0.0
1	10FTHF7GLUtm	0.0
2	10FTHFtl	0.0
3	10FTHFtm	0.0
4	11DOCRTSLtm	0.0
5	11DOCRTSLtr	0.0
6	11DOCRTSTRNtm	0.0
7	11DOCRTSTRNtr	0.0
8	13DAMPPOX	0.0
9	2AMACSULT	0.0
10	2DR1PP	0.0
11	2HBO	0.0
12	2HBt2	0.0
13	2OXOADOXm	0.0
14	2OXOADPTm	0.0
15	34DHOXPEGOX	0.0
16	34DHOXPEGt	0.0
17	34DHPHAMT	0.0
18	34DHPLACOX	0.0
19	34DHPLACOX_NADP_	0.0
20	34DHXMANDACOX	0.0
21	34DHXMANDACOX_NADP_	0.0
22	34HPLFM	0.0
23	34HPPOR	0.0
24	3AIBTm	0.0
25	3AIBtmi	0.0
26	3DPHBH2	0.0
27	3DSPHR	0.0
28	3HAO	0.0
29	3HBCDm	0.0
30	3HBCOAHLm	185.5471341667091
31	3HLYTCL	0.0
32	3M4HDXPAC	0.0
33	3MLDAt	0.0
34	3MOX4HOXPGALDOX	0.0
35	3MOX4HOXPGALDOX_NADP_	0.0
36	3MOXTYROX	0.0
37	3SALAASPm	0.0
38	3SALACBOXL	0.0
39	3SALATAi	0.0
40	3SALATAim	0.0
41	3SPYRSP	0.0
42	3SPYRSPm	0.0
43	41R1H2MAE12BOOX	0.0
44	41R2A1H12BOOX	0.0
45	42A12BOOX	0.0
46	4ABUTtm	0.0
47	4HBZCOAFm	0.0
48	4HBZFm	0.0
49	4HGLSDm	0.0
50	4HOXPACDOX_NADP_	0.0
51	4MPTNLte	0.0
52	4MPTNLtm	0.0
53	4NPHSFte	0.0
54	4NPHSULT	0.0
55	4NPHte	0.0
56	4PYRDX	0.0
57	5ADTSTSTERONESte	0.0
58	5ADTSTSTERONESULT	0.0
59	5AOPtm	0.0
60	5FTHFt2	0.0
61	5HLTDL	0.0
62	5HOXINDACTO2OX	0.0
63	7DHFtl	0.0
64	7DHFtm	0.0
65	7THFtm	0.0
66	A_MANASEly	0.0
67	A4GALTc	0.0
68	A4GALTg	0.0
69	AACTOOR	389.36929005950304
70	AATAi	0.0
71	ABTArm	0.0
72	ABTti	0.0
73	ABUTt2rL	0.0
74	ACACT10m	-407.93267230040453
75	ACACT1rm	0.0
76	ACACT1x	333.33333333333326
77	ACACt2m	-610.6307099404968
78	ACACT4p	0.0
79	ACACT5p	0.0
80	ACACT6p	77.48184261906898
81	ACACT7p	77.481842619069
82	ACACT8p	0.0
83	ACACT9p	0.0
84	ACACtx	0.0
85	ACALDtm	-877.4788422127447
86	ACALDtr	0.0
87	ACALDtx	0.0
88	ACCOACm	0.0
89	ACCOALm	0.0
90	ACCOAtr	0.0
91	ACGAGBSIDEtg	0.0
92	ACGAGBSIDEtl	0.0
93	ACGALK	0.0
94	ACGALtly	0.0
95	ACGAMK	0.0
96	ACGAMPM	0.0
97	ACGAMtly	0.0
98	ACGPID	0.0
99	ACITL	0.0
100	ACNAM9PL	0.0
101	ACNAMlt	0.0
102	ACNAMPH	0.0
103	ACOAD10m	0.0
104	ACOAD1fm	0.0
105	ACOAD8m	0.0
106	ACOAD9m	185.54713416670907
107	ACOAO7p	77.48184261906897
108	ACODA	0.0
109	ACONTm	0.0
110	ACOX22x	0.0
111	ACOX2x	0.0
112	ACP1_FMN_	0.0
113	ACRNtm	0.0
114	ACS2	0.0
115	ACt2m	-877.4788422127448
116	ACtg	0.0
117	ADK1m	0.0
118	ADK3m	0.0
119	ADMDC	7.699143043007274e-15
120	ADNCYC	0.0
121	ADNK1m	0.0
122	ADNt	0.0
123	ADNtl	0.0
124	ADNtm	0.0
125	ADPMAN	0.0
126	ADRNCPT1	0.0
127	ADRNCPT2	0.0
128	ADRNCRNt	0.0
129	ADSK	0.0
130	ADSL1	0.0
131	ADSL2	0.0
132	AG13T1g	0.0
133	AG13T2g	0.0
134	AG13T3g	0.0
135	AGPAT1	0.0
136	AGTim	0.0
137	AHEXASE2ly	0.0
138	AHEXASEly	0.0
139	AIRCr	0.0
140	AKGDm	832.3100086904337
141	AKGMALtm	0.0
142	ALASm	0.0
143	ALAt4	1000.0
144	ALATA_L	-121.07661180500678
145	ALCD21_D	0.0
146	ALCD21_L	0.0
147	ALCD22_D	0.0
148	ALCD22_L	0.0
149	ALCD2if	0.0
150	ALCD2yf	0.0
151	ALDD20x	0.0
152	ALDD20xm	0.0
153	ALDD21	0.0
154	ALDD2xm	877.4788422127447
155	ALDD2y	85.87945706063265
156	ALDSTRNte	0.0
157	ALDSTRNtm	0.0
158	ALR2	0.0
159	ALR3	0.0
160	AMACR2p	83.33333333333323
161	AMACRp	0.0
162	AMETt2m	0.0
163	AMPDA	8.648466247179618
164	AMPTASECGe	0.0
165	AMY1e	0.0
166	AMY2e	0.0
167	ANDRSTRNtr	0.0
168	APAT2rm	0.0
169	APOCF	0.0
170	APOCFm	0.0
171	APOC_LYS_BTNP	0.0
172	APOC_LYS_BTNPm	0.0
173	APRTO2	0.0
174	ARAB_Lt	0.0
175	ARABR	0.0
176	ARACHCPT1	0.0
177	ARACHCPT2	0.0
178	ARACHCRNt	0.0
179	ARACHt	0.0
180	ARGSS	0.0
181	R_group_phosphotase_1	0.0
182	R_group_phosphotase_2	0.0
183	R_group_phosphotase_3	0.0
184	ARTFR208	0.0
185	ARTPLM3m	0.0
186	ASAH1	0.0
187	ASCBt4	0.0
188	ASNS1	0.0
189	ASPDxt	0.0
190	ASPGLUm	0.0
191	ASPTAm	0.0
192	ATP1ter	0.0
193	ATP2ter	0.0
194	ATPH1e	0.0
195	ATPH2e	0.0
196	ATPtm	1000.0000000000001
197	ATPtn	0.0
198	B_MANNASEly	0.0
199	B3GALT3g	0.0
200	B3GALT41g	0.0
201	B3GALT43g	0.0
202	BAAT2x	0.0
203	BAAT3x	83.33333333333324
204	BACCL	0.0
205	BACCLm	0.0
206	BALAtmr	0.0
207	BAMPPALDOX	0.0
208	BHMT	0.0
209	BILGLCURte	0.0
210	BILIRED	0.0
211	BIOCYTtn	0.0
212	BMTer_U	0.0
213	BPNT2	0.0
214	BTND1	0.0
215	BTND1n	0.0
216	BTNDe	0.0
217	BTNDm	0.0
218	BTNPL	0.0
219	BTNPLm	0.0
220	BTNt2	0.0
221	BZt	0.0
222	BZtr	0.0
223	C14STRr	0.0
224	C160CPT1	0.0
225	C160CPT2	-77.48184261906898
226	C160CRNt	-77.481842619069
227	C161CPT1	0.0
228	C161CPT12	0.0
229	C161CPT2	0.0
230	C161CPT22	0.0
231	C161CRN2t	0.0
232	C161CRNt	0.0
233	C180CPT1	0.0
234	C180CPT2	0.0
235	C180CRNt	0.0
236	C181CPT1	0.0
237	C181CPT2	0.0
238	C181CRNt	0.0
239	C204CPT1	0.0
240	C204CPT2	0.0
241	C204CRNt	0.0
242	C226COAtx	0.0
243	C226CPT1	0.0
244	C226CPT2	0.0
245	C3STDH1Pr	0.0
246	C3STDH1r	0.0
247	C3STKR2r	0.0
248	C4STMO1r	0.0
249	C4STMO2Pr	0.0
250	C4STMO2r	0.0
251	CAATPS	0.0
252	CAT2p	0.0
253	CATm	781.3040487552557
254	CATp	546.851701626515
255	CBPPer	0.0
256	CBPter	0.0
257	CBR2	0.0
258	CDIPTr	-2.7915889888312977
259	CDS	0.0
260	CDSm	0.0
261	CEPTC	0.0
262	CERK	0.0
263	CERT1rt	0.0
264	CH25H	0.0
265	CHLPCTD	0.0
266	CHOLK	0.0
267	CHOLPtg	0.0
268	CHOLPtl	0.0
