Reacciones	Flujos_BRCA_cancer1
10FTHF7GLUtl	0.0
10FTHFtl	0.0
13DAMPPOX	0.0
2HBO	-228.8262421681321
2HBt2	0.0
2OXOADOXm	0.0
2OXOADPTm	0.0
34DHOXPEGOX	0.0
34DHOXPEGt	0.0
34DHPHAMT	0.0
34DHPLACOX	0.0
34DHXMANDACOX	0.0
34DHXMANDACOX_NADP_	0.0
34HPLFM	0.0
3DPHBH1	0.0
3DSPHR	0.0
3HBCDm	152.21404342123105
3HBCOAHLm	0.0
3M4HDXPAC	0.0
3MLDAt	0.0
3MOX4HOXPGALDOX	0.0
3MOX4HOXPGALDOX_NADP_	0.0
3MOXTYROX	0.0
3SALAASPm	-62.70425469912094
41R1H2MAE12BOOX	0.0
41R2A1H12BOOX	0.0
42A12BOOX	0.0
4HBZCOAFm	0.0
4HBZFm	0.0
4HOXPACDOX_NADP_	0.0
5ADTSTSTERONESte	1000.0
5ADTSTSTERONEtr	0.0
5AOPtm	0.0
5HOXINDACTO2OX	617.0230162028338
7DHFtl	0.0
7THFtl	0.0
A_MANASEly	0.0
A4GALTc	0.0
A4GALTg	0.0
ABO4g	0.0
ABO5g	0.0
ABO6g	0.0
ABO7g	0.0
ABO9g	0.0
ABTti	0.0
ABUTt2rL	0.0
ACACT10m	0.0
ACACT1rm	152.21404342123105
ACACT1x	0.0
ACACt2m	0.0
ACACT4p	0.0
ACACT5p	0.0
ACACT6p	0.0
ACACT7p	0.0
ACACT8p	0.0
ACACT9p	0.0
ACACtx	0.0
ACALDtm	0.0
ACALDtx	0.0
ACCOACm	0.0
ACCOAgt	0.0
ACCOAtr	0.0
ACGAGBSIDEtg	0.0
ACGAGBSIDEtl	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg	0.0
ACGALtlg	0.0
ACGALtly	0.0
ACGAM6PSi	0.0
ACGAMK	0.0
ACGAMPM	0.0
ACGAMtly	0.0
ACGBGBSIDEtg	0.0
ACGBGBSIDEtl	0.0
ACGPID	0.0
ACITL	0.0
ACNACNGAL14ACGLCGALGLUSIDEte	0.0
ACNAM9PL	0.0
ACNAM9PL2	46.141269296902955
ACNAMlt	0.0
ACNAMPH	0.0
ACNAMtn	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg	0.0
ACOAD10m	0.0
ACOAD1fm	0.0
ACOAD8m	0.0
ACOAD9m	0.0
ACOAO7p	0.0
ACONTm	0.0
ACP1_FMN_	0.0
ACRNtm	0.0
ACS2	0.0
ACt2m	0.0
ADK1m	0.0
ADK3m	-2.602724542763145e-15
ADMDC	0.0
ADNCYC	0.0
ADNK1m	0.0
ADNt	0.0
ADNtl	0.0
ADNtm	-2.6027245427631374e-15
ADPMAN	0.0
ADRNCPT1	0.0
ADRNCPT2	0.0
ADRNCRNt	0.0
ADRNt	0.0
ADSK	0.0
ADSL1	0.0
ADSL2	0.0
AG13T1g	0.0
AG13T2g	0.0
AG13T3g	0.0
AGPAT1	0.0
AHEXASE2ly	0.0
AHEXASEly	0.0
AIRCr	0.0
AKGDm	708.4695031327474
AKGMALtm	-645.7652484336262
ALASm	0.0
ALATA_L	-89.91563569812705
ALCD21_D	0.0
ALCD21_L	0.0
ALCD22_D	0.0
ALCD22_L	0.0
ALCD2if	0.0
ALCD2yf	0.0
ALDD20x	0.0
ALDD20xm	0.0
ALDD21	0.0
ALDD2xm	0.0
ALDD2y	0.0
ALOX15	0.0
ALOX5	0.0
ALOX52	0.0
ALR2	0.0
ALR3	0.0
AMETt2m	0.0
AMPDA	13.364376658072786
AMPTASECGe	0.0
AMY1e	0.0
AMY2e	0.0
APRTO2	0.0
ARAB_Lt	0.0
ARABR	0.0
ARACHCPT1	0.0
ARACHCPT2	0.0
ARACHCRNt	0.0
ARACHDt2	0.0
ARACHDtr	0.0
ARACHt	0.0
ARGSS	0.0
ARGt4	63.886817002371544
R_group_phosphotase_1	0.0
R_group_phosphotase_2	0.0
R_group_phosphotase_3	0.0
ARTFR208	0.0
ARTPLM3m	0.0
ASAH1	0.0
ASCBt	0.0
ASNALANaEx	0.0
ASNGLNNaEx	0.0
ASNS1	0.0
ASNSERNaEx	0.0
ASPCTr	0.0
ASPTAm	-62.70425469912094
ATP1ter	0.0
ATP2ter	0.0
ATPH1e	0.0
ATPH2e	0.0
ATPtm	1000.0
ATPtn	0.0
B_MANNASEly	0.0
B3GALT3g	0.0
B3GNT11g	0.0
B3GNT310g	0.0
B3GNT311g	0.0
B3GNT312g	0.0
B3GNT313g	0.0
B3GNT314g	0.0
B3GNT31g	0.0
B3GNT32g	0.0
B3GNT33g	0.0
B3GNT36g	0.0
B3GNT37g	0.0
B3GNT39g	0.0
B3GNT51g	0.0
BAMPPALDOX	0.0
BBHOX	0.0
BILGLCURte	0.0
BILIRED	0.0
BMTer_U	0.0
BPNT2	0.0
C14STRr	0.0
C160CPT1	-54.23475156637406
C160CPT2	-54.23475156637406
C161CPT12	0.0
C161CPT2	0.0
C161CPT22	69.15304968672584
C161CRNt	0.0
C180CPT1	-76.6121987469011
C180CPT2	-76.6121987469011
C180CRNt	-76.6121987469011
C181CPT1	0.0
C181CPT2	0.0
C204CPT2	0.0
C204CRNt	0.0
C226CPT1	0.0
C226CPT2	0.0
C3STDH1Pr	0.0
C3STDH1r	0.0
C3STKR2r	0.0
C4STMO2Pr	0.0
C4STMO2r	0.0
CAT2p	0.0
CATm	639.8216304823075
CATp	6.941729634539224
CBPPer	0.0
CBPter	0.0
CBR2	0.0
CDIPTr	-2.0731295235028875
CDSm	0.0
CEPTC	0.0
CEPTE	0.0
CERK	0.0
CERT2gt	0.0
CERT2rt	0.0
CH25H	0.0
CHLPCTD	0.0
CHLtm	0.0
CHOLPtg	0.0
CHOLtg	0.0
CHOLtr	0.0
CHSTEROLt2	0.0
CHTNASE	0.0
CITtam	0.0
CITtbm	0.0
CLOXAtex2	0.0
CLPNDCOAtx	0.0
CLPNDCPT1	0.0
CLPNDCPT2	0.0
CLS_hs	2.0731295235028875
CMPACNAtg	0.0
CMPACNAtn	0.0
CMPSAS	0.0
CMPSASn	0.0
CO2ter	0.0
CO2tg	0.0
CO2tp	0.0
COAtg	0.0
COAtl	0.0
COAtm	305.43844091503325
COAtr	0.0
CORE2GTg	0.0
CORE6GTg	0.0
COt	0.0
COUCOAFm	0.0
CREATt4_2_r	0.0
CRNCAR3tp	0.0
CRNCARtp	0.0
CRNtx	0.0
CSAPASEly	0.0
CSBPASEly	0.0
CSCPASEly	0.0
CSDPASEly	0.0
CSEPASEly	0.0
CSm	0.0
CSNAT2m	228.82624216813213
CSNAT2x	0.0
CSNAT3x	0.0
CSNATer	0.0
CSNATm	0.0
CSNATp	0.0
CSNATr	0.0
CSPG_At	0.0
CSPG_Atly	0.0
CSPG_Bt	0.0
CSPG_Btly	0.0
CSPG_Ct	0.0
CSPG_Ctly	0.0
CSPG_Dt	0.0
