	Reacciones	FlujosN2
0	10FTHF7GLUtl	0.0
1	10FTHF7GLUtm	0.0
2	10FTHFtl	0.0
3	10FTHFtm	0.0
4	11DOCRTSLtm	0.0
5	11DOCRTSLtr	0.0
6	11DOCRTSTRNtm	0.0
7	11DOCRTSTRNtr	0.0
8	13DAMPPOX	0.0
9	1a_25VITD2Hm	0.0
10	24NPHte	0.0
11	25HVITD2tin_m	0.0
12	25HVITD3tin_m	0.0
13	25VITD2Hm	0.0
14	25VITD3Hm	0.0
15	2AMACHYD	0.0
16	2AMACSULT	0.0
17	2AMADPTm	0.0
18	2DR1PP	0.0
19	2HBO	-1000.0
20	2HBt2	-1000.0000000000001
21	2OXOADOXm	0.0
22	2OXOADPTm	0.0
23	34DHOXPEGOX	0.0
24	34DHOXPEGt	0.0
25	34DHPHAMT	0.0
26	34DHPLACOX	0.0
27	34DHPLACOX_NADP_	0.0
28	34DHXMANDACOX	0.0
29	34DHXMANDACOX_NADP_	0.0
30	34HPLFM	0.0
31	34HPPOR	0.0
32	35CGMPtn	0.0
33	3AIBTm	0.0
34	3AIBtmi	0.0
35	3DPHBH1	0.0
36	3DSPHR	0.0
37	3HAO	0.0
38	3HBCDm	0.0
39	3HBCOAHLm	53.32905673261136
40	3HKYNAKGAT	0.0
41	3HLYTCL	0.0
42	3M4HDXPAC	0.0
43	3MLDAt	0.0
44	3MOX4HOXPGALDOX	0.0
45	3MOX4HOXPGALDOX_NADP_	0.0
46	3MOXTYROX	0.0
47	3SALAASPm	0.0
48	3SALACBOXL	0.0
49	3SALATAi	0.0
50	3SALATAim	0.0
51	3SPYRSP	0.0
52	3SPYRSPm	0.0
53	41R1H2MAE12BOOX	0.0
54	41R2A1H12BOOX	0.0
55	42A12BOOX	0.0
56	4ABUTtm	-1000.0
57	4HBZCOAFm	0.0
58	4HBZFm	0.0
59	4HGLSDm	0.0
60	4HOXPACDOX_NADP_	0.0
61	4MOPt2im	60.93916837291569
62	4MPTNLte	0.0
63	4MPTNLtm	0.0
64	4NPHSFte	0.0
65	4NPHSULT	0.0
66	4NPHte	0.0
67	4PYRDX	0.0
68	5ADTSTSTERONESte	648.8903144224631
69	5ADTSTSTERONESULT	0.0
70	5ADTSTSTERONEtr	648.8903144224631
71	5AOPtm	0.0
72	5FTHFt2	59.33561681804447
73	5HOXINDACTO2OX	0.0
74	5MTHFt	879.2803943539028
75	5MTHFt2	-1000.0
76	6HTSTSTERONEte	0.0
77	6HTSTSTERONEtr	0.0
78	7DHFtl	0.0
79	7DHFtm	0.0
80	7THFtl	0.0
81	7THFtm	0.0
82	A_MANASEly	0.0
83	A4GALTc	0.0
84	A4GALTg	0.0
85	AACTOOR	973.3354716336942
86	AACTtm	0.0
87	AATAi	0.0
88	ABTArm	-999.9999999999999
89	ABTD	1000.0000000000001
90	ABUTt2rL	0.0
91	ABUTt4_2_r	0.0
92	ACACT10m	0.0
93	ACACT1rm	26.664528366305753
94	ACACT1x	0.0
95	ACACt2m	0.0
96	ACACT4p	0.0
97	ACACT5p	0.0
98	ACACT6p	0.0
99	ACACT7p	0.0
100	ACACT8p	0.0
101	ACACT9p	0.0
102	ACACtx	0.0
103	ACALDtm	0.0
104	ACALDtr	0.0
105	ACALDtx	0.0
106	ACCOACm	0.0
107	ACCOAgt	0.0
108	ACCOALm	0.0
109	ACCOAtr	0.0
110	ACETONEt2m	0.0
111	ACGAGBSIDEtg	0.0
112	ACGAGBSIDEtl	0.0
113	ACGALtly	0.0
114	ACGAM6PSi	0.0
115	ACGAMK	0.0
116	ACGAMPM	0.0
117	ACGAMtly	0.0
118	ACGPID	0.0
119	ACGSm	0.0
120	ACHEe	0.0
121	ACITL	0.0
122	ACNACNGAL14ACGLCGALGLUSIDEte	0.0
123	ACNAM9PL	0.0
124	ACNAM9PL2	0.0
125	ACNAMlt	0.0
126	ACNAMPH	0.0
127	ACNGALACGLCGAL14ACGLCGALGLUSIDEte	0.0
128	ACOAD10m	0.0
129	ACOAD1fm	0.0
130	ACOAD8m	0.0
131	ACOAD9m	53.329056732611356
132	ACOAO7p	0.0
133	ACODA	0.0
134	ACONTm	0.0
135	ACOX22x	0.0
136	ACOX2x	0.0
137	ACP1_FMN_	0.0
138	ACRNtm	0.0
139	ACS2	0.0
140	ACSm	0.0
141	ACtg	0.0
142	ACTLMO	83.61398948740502
143	ACTNMO	0.0
144	ADA	0.0
145	ADAe	0.0
146	ADCim	0.0
147	ADEt	-53.32905673261107
148	ADK1m	0.0
149	ADK3m	0.0
150	ADMDC	53.329056732611235
151	ADNCYC	0.0
152	ADNt	0.0
153	ADNtl	0.0
154	ADNtm	0.0
155	ADPMAN	0.0
156	ADPRIBt	0.0
157	ADRNCPT1	0.0
158	ADRNCPT2	0.0
159	ADRNCRNt	0.0
160	ADSK	0.0
161	ADSL1	0.0
162	ADSL2	0.0
163	AFLATOXINte	0.0
164	AG13T1g	0.0
165	AG13T2g	0.0
166	AG13T3g	0.0
167	AGPAT1	0.0
168	AGTim	0.0
169	AGTix	0.0
170	AHEXASE2ly	0.0
171	AHEXASEly	0.0
172	AIRCr	0.0
173	AKGDm	893.3418865347771
174	AKGMALtm	0.0
175	AKGt4_3	0.0
176	AKR1C1	0.0
177	ALADGLNexR	0.0
178	ALADGLYexR	0.0
179	ALAGLNexR	0.0
180	ALAGLYexR	0.0
181	ALASm	0.0
182	ALATA_L	-141.88947780848255
183	ALAtN1	0.0
184	ALCD21_D	290.222644370874
185	ALCD21_L	290.22264437087404
186	ALCD22_D	0.0
187	ALCD22_L	0.0
188	ALCD2if	0.0
189	ALCD2yf	0.0
190	ALDD20x	0.0
191	ALDD20xm	0.0
192	ALDD21	0.0
193	ALDD2xm	0.0
194	ALDD2y	0.0
195	ALDSTRNte	0.0
196	ALDSTRNtm	0.0
197	ALOX12	0.0
198	ALOX15	0.0
199	ALOX5	0.0
200	ALOX52	0.0
201	ALR2	373.8366338582791
202	ALR3	290.22264437087404
203	AMACRp	0.0
204	AMETt2m	0.0
205	AMPDA	10.135123054425103
206	AMPTASECGe	0.0
207	AMY1e	0.0
208	AMY2e	0.0
209	ANDRSTRNtr	0.0
210	AOBUTDsm	0.0
211	APAT2rm	53.32905673261123
212	APOCF	0.0
213	APOCFm	0.0
214	APOC_LYS_BTNP	0.0
215	APOC_LYS_BTNPm	0.0
216	APRTO2	0.0
217	ARAB_Lt	1000.0
218	ARABR	1000.0000000000002
219	ARACHCOAtx	0.0
220	ARACHCPT1	0.0
221	ARACHCPT2	0.0
222	ARACHCRNt	0.0
223	ARACHDCOAtx	0.0
224	ARACHDt2	0.0
225	ARGSS	0.0
226	R_group_phosphotase_1	0.0
227	R_group_phosphotase_2	0.0
228	R_group_phosphotase_3	0.0
229	ARTFR208	0.0
230	ARTPLM3m	0.0
231	ASAH1	0.0
232	ASCBt4	0.0
233	ASNNm	0.0
234	ASNS1	0.0
235	ASNtm	0.0
236	ASNtN1	0.0
237	ASPCTr	0.0
238	ASPDt6	0.0
239	ASPDxt	0.0
240	ASPTAm	0.0
241	ATP1ter	0.0
242	ATP2ter	0.0
243	ATPasel	0.0
244	ATPH1e	0.0
245	ATPH2e	0.0
246	ATPtm	936.5358202129635
247	ATPtn	0.0
248	B_MANNASEly	0.0
249	B3GALT3g	0.0
250	B3GALT41g	0.0
251	B3GALT42g	0.0
252	B3GALT43g	0.0
253	B3GALT44g	0.0
254	BACCL	0.0
255	BACCLm	0.0
256	BALAtmr	53.32905673261123
257	BAMPPALDOX	53.32905673261123
258	BDHm	-26.664528366305753
