Reacciones	FlujosN3
10FTHF7GLUtl	0.0
10FTHF7GLUtm	0.0
10FTHFtl	0.0
10FTHFtm	0.0
11DOCRTSLtm	0.0
11DOCRTSLtr	0.0
11DOCRTSTRNtm	0.0
11DOCRTSTRNtr	0.0
13DAMPPOX	0.0
2AMACSULT	0.0
2DR1PP	0.0
2HBO	0.0
2HBt2	0.0
2OXOADOXm	0.0
2OXOADPTm	0.0
34DHOXPEGOX	0.0
34DHOXPEGt	0.0
34DHPHAMT	0.0
34DHPLACOX	0.0
34DHPLACOX_NADP_	0.0
34DHXMANDACOX	0.0
34DHXMANDACOX_NADP_	0.0
34HPLFM	0.0
34HPPOR	0.0
3AIBTm	0.0
3AIBtmi	0.0
3DPHBH2	0.0
3DSPHR	0.0
3HAO	0.0
3HBCDm	0.0
3HBCOAHLm	185.54713416670694
3HLYTCL	0.0
3M4HDXPAC	0.0
3MLDAt	0.0
3MOX4HOXPGALDOX	0.0
3MOX4HOXPGALDOX_NADP_	0.0
3MOXTYROX	0.0
3SALAASPm	0.0
3SALACBOXL	0.0
3SALATAi	0.0
3SALATAim	0.0
3SPYRSP	0.0
3SPYRSPm	0.0
41R1H2MAE12BOOX	0.0
41R2A1H12BOOX	0.0
42A12BOOX	0.0
4ABUTtm	0.0
4HBZCOAFm	0.0
4HBZFm	0.0
4HGLSDm	0.0
4HOXPACDOX_NADP_	0.0
4MPTNLte	0.0
4MPTNLtm	0.0
4NPHSFte	0.0
4NPHSULT	0.0
4NPHte	0.0
4PYRDX	0.0
5ADTSTSTERONESte	0.0
5ADTSTSTERONESULT	0.0
5AOPtm	0.0
5FTHFt2	0.0
5HLTDL	0.0
5HOXINDACTO2OX	0.0
7DHFtl	0.0
7DHFtm	0.0
7THFtm	0.0
A_MANASEly	0.0
A4GALTc	0.0
A4GALTg	0.0
AACTOOR	389.36929005950395
AATAi	0.0
ABTArm	0.0
ABTti	0.0
ABUTt2rL	0.0
ACACT10m	-407.9326723004053
ACACT1rm	0.0
ACACT1x	333.3333333333329
ACACt2m	-610.6307099404972
ACACT4p	0.0
ACACT5p	0.0
ACACT6p	77.48184261906862
ACACT7p	77.48184261906863
ACACT8p	0.0
ACACT9p	0.0
ACACtx	0.0
ACALDtm	-877.4788422127484
ACALDtr	0.0
ACALDtx	0.0
ACCOACm	0.0
ACCOALm	0.0
ACCOAtr	0.0
ACGAGBSIDEtg	0.0
ACGAGBSIDEtl	0.0
ACGALK	0.0
ACGALtly	0.0
ACGAMK	0.0
ACGAMPM	0.0
ACGAMtly	0.0
ACGPID	0.0
ACITL	0.0
ACNAM9PL	0.0
ACNAMlt	0.0
ACNAMPH	0.0
ACOAD10m	0.0
ACOAD1fm	0.0
ACOAD8m	0.0
ACOAD9m	185.54713416670694
ACOAO7p	77.48184261906863
ACODA	0.0
ACONTm	0.0
ACOX22x	0.0
ACOX2x	0.0
ACP1_FMN_	0.0
ACRNtm	0.0
ACS2	0.0
ACt2m	-877.4788422127488
ACtg	0.0
ADK1m	0.0
ADK3m	0.0
ADMDC	1.1892895948823732e-14
ADNCYC	0.0
ADNK1m	0.0
ADNt	0.0
ADNtl	0.0
ADNtm	0.0
ADPMAN	0.0
ADRNCPT1	0.0
ADRNCPT2	0.0
ADRNCRNt	0.0
ADSK	0.0
ADSL1	0.0
ADSL2	0.0
AG13T1g	0.0
AG13T2g	0.0
AG13T3g	0.0
AGPAT1	0.0
AGTim	0.0
AHEXASE2ly	0.0
AHEXASEly	0.0
AIRCr	0.0
AKGDm	832.3100086904359
AKGMALtm	0.0
ALASm	0.0
ALAt4	1000.0
ALATA_L	-121.07661180500682
ALCD21_D	0.0
ALCD21_L	0.0
ALCD22_D	0.0
ALCD22_L	0.0
ALCD2if	0.0
ALCD2yf	0.0
ALDD20x	0.0
ALDD20xm	0.0
ALDD21	0.0
ALDD2xm	877.4788422127485
ALDD2y	85.87945706062875
ALDSTRNte	0.0
ALDSTRNtm	0.0
ALR2	0.0
ALR3	0.0
AMACR2p	83.33333333333312
AMACRp	0.0
AMETt2m	0.0
AMPDA	8.648466247179622
