gen,q_value,Log2FC,sign
FOLR2,0.049761476802656954,1.775388525609065,UP
ITGB2,0.049761476802656954,1.4269355932818484,UP
CD300A,0.049761476802656954,1.5067061304132572,UP
ACKR1,0.049761476802656954,2.785077115484871,UP
MN1,0.049468852488370386,1.5128926893838466,UP
PTAFR,0.04868135310987825,1.5095215577544987,UP
ITPKB,0.04867952221657414,1.1051413092097695,UP
TGM2,0.04844105644175456,1.4516333770796839,UP
DIO2,0.04597923278370997,1.2508522118952177,UP
PTGDS,0.04597923278370997,1.3896465341013022,UP
ESAM,0.04597923278370997,1.1274498822951555,UP
MCAM,0.04591896548638745,1.1314921027401583,UP
CCDC3,0.04591896548638745,1.1267380969198844,UP
ZEB2,0.044275174717677855,1.0145718402329453,UP
MNDA,0.04316392974944731,1.4431152158870426,UP
CLEC14A,0.04316392974944731,1.274499969534107,UP
DYSF,0.04293026603190757,1.3478912910405474,UP
PPP1R16B,0.04293026603190757,1.1938440662873457,UP
PTPRC,0.04293026603190757,1.4536674757543688,UP
THBS4,0.04293026603190757,1.0362903686134861,UP
CD69,0.04293026603190757,1.8084739363162556,UP
HLA-DMA,0.0424718270780808,1.099613760270066,UP
ECSCR,0.042143664481801936,1.3179291272041616,UP
C1QA,0.042061873232092664,1.6327209357085875,UP
PLIN1,0.04204196530233852,1.8331686644465044,UP
BGN,0.04173698626472055,1.3132805851425153,UP
VIM,0.04166187992861758,1.1623278288922283,UP
CAVIN1,0.03950837610617753,1.1858542936736642,UP
FBLN1,0.03829890468047735,1.5788676496235956,UP
TIE1,0.03829890468047735,1.4100179442264722,UP
RBP7,0.03829890468047735,1.3071387026275103,UP
ARHGAP23,0.03829890468047735,1.3354630130497667,UP
CMTM3,0.038197537705592005,1.0787592292360348,UP
C1S,0.038197537705592005,1.608577485379693,UP
FBN1,0.03776999367761567,1.112478234467121,UP
CCL19,0.03776999367761567,2.4620479275784235,UP
TPSAB1,0.03776999367761567,1.396369309094666,UP
TRAF3IP3,0.03776999367761567,1.3221731437083832,UP
COL16A1,0.037266423125983134,1.0753915561115872,UP
FCN3,0.03652761080072433,1.8788415585914853,UP
GBP2,0.036468303771263005,1.4536243061167768,UP
HAND2,0.03608980936799237,1.1220488040313297,UP
VSTM4,0.03529801392828935,1.201659675356895,UP
CD4,0.03529801392828935,1.1313375072615641,UP
NR2F1,0.03501141341307345,1.2909610875004347,UP
CSRP2,0.0337831113153355,1.3056187390078122,UP
ELK3,0.0337831113153355,1.117852004755515,UP
AIF1,0.03374596209001077,1.148659343031186,UP
CMAHP,0.03366488175042785,1.1324429851707263,UP
FN1,0.03345629857015796,1.116163586264804,UP
DIPK2B,0.03345629857015796,1.434406848087632,UP
MXRA8,0.032952326531533314,1.446449951670197,UP
MYH11,0.031149788262017804,1.0490496612025122,UP
NOTCH3,0.031149788262017804,1.333962877953119,UP
COL14A1,0.031149788262017804,1.3785110284563225,UP
HLA-DPB1,0.031149788262017804,1.2186930480109597,UP
COL5A1,0.031149788262017804,1.4374533355372556,UP
BST2,0.031149788262017804,1.4164482367267082,UP
GBP5,0.030924022980916857,1.8210581335559648,UP
CCL21,0.030882481717755123,2.73355100389113,UP
CD74,0.03088004457141387,1.213476374033769,UP
IFI27,0.030787769124768723,1.5542036258433707,UP
PSMB9,0.028935726556842033,1.0698359496989878,UP
LAMA2,0.028479803119798416,1.1472121681714071,UP
RASL12,0.028479803119798416,1.5220945002195807,UP
AEBP1,0.028479803119798416,1.0070656045742026,UP
IGHGP,0.028479803119798416,3.918389737713066,UP
MFGE8,0.028479803119798416,1.0926932925654196,UP
IFITM1,0.02775926098392288,1.4686463054703345,UP
RNF17,0.02722334418847012,5.383396697810007,UP
LDB3,0.0269343700785063,1.6342395666748084,UP
PCOLCE,0.0269343700785063,1.0001810457122937,UP
MRC2,0.0269343700785063,1.4908916351210755,UP
GGT5,0.0269343700785063,1.47713599294213,UP
CD1D,0.02681770675793683,1.5733202627287017,UP
LGALS9,0.02681770675793683,1.3623112735432337,UP
RCN3,0.02681770675793683,1.1755147701123572,UP
IGLV2-23,0.02681770675793683,4.134128926609905,UP
COL1A1,0.02681770675793683,1.7246843850749558,UP
COL4A2,0.02598661495409294,1.223928669097132,UP
MYL9,0.025943163730161648,1.2610868877137285,UP
ARHGEF6,0.02465147360129506,1.3716472268454973,UP
PLAAT4,0.02465147360129506,1.0435636951713403,UP
CLEC2B,0.024042996948780718,1.486536882260537,UP
IGFBP4,0.024042996948780718,1.4503391250089959,UP
LAPTM5,0.023332943320183267,1.570713961938645,UP
LST1,0.023030236510182482,1.5171392039155498,UP
PXDN,0.022307247174190595,1.0643289208438282,UP
TSPAN18,0.022307247174190595,1.8316473408346021,UP
FGL1,0.022307247174190595,-2.044328842365715,DOWN
PARVG,0.022307247174190595,1.61906968285981,UP
MFAP2,0.022023764569909725,1.5966955134917298,UP
IGLC2,0.02191125413087814,3.0845258192547957,UP
SEMA3C,0.02191125413087814,1.6856673237288688,UP
DHRS9,0.02191125413087814,2.011492120049447,UP
DKK3,0.02191125413087814,1.214534345538547,UP
NR2F2-AS1,0.02191125413087814,1.3875409540425772,UP
NGFR,0.02191125413087814,1.4923042596407352,UP
FES,0.02191125413087814,1.3180484903250589,UP
TLR7,0.02191125413087814,2.2597589062794112,UP
CYP4F12,0.02191125413087814,1.5293418881351666,UP
S100A4,0.02191125413087814,1.81826231836805,UP
OLFML3,0.02191125413087814,1.2288947854440202,UP
GLI1,0.02191125413087814,2.7558577946474028,UP
DOCK2,0.02191125413087814,1.7236070926753124,UP
COL6A2,0.02191125413087814,1.399486308810234,UP
ADAM19,0.02191125413087814,1.4824479063770148,UP
APOL3,0.02191125413087814,1.4280583596418797,UP
C1R,0.02191125413087814,1.811036026084062,UP
SLC15A3,0.02191125413087814,1.6668394371159,UP
AOC3,0.02191125413087814,1.3330568970289034,UP
RAB34,0.02191125413087814,1.4940967721080072,UP
DPEP2,0.02191125413087814,1.9522859553521983,UP
SCARA3,0.02191125413087814,1.488260136562072,UP
SIGLEC1,0.02191125413087814,2.7837304232229716,UP
KLHL6,0.02191125413087814,1.543212625893919,UP
PDGFRB,0.02191125413087814,1.4435974005419867,UP
JCHAIN,0.01801482028751825,2.846890565587534,UP
RPL10P9,0.017410301060659744,-1.5225221355520795,DOWN
MMP2,0.014451061630231576,1.7284756333281766,UP
ARHGAP6,0.014410661437977533,1.615136432678872,UP
IGHG1,0.014410661437977533,3.7523891580195357,UP
COL5A2,0.014410661437977533,1.0325237714289608,UP
CDH11,0.014410661437977533,1.6259557776975244,UP
ADIPOQ,0.014410661437977533,4.216647695809584,UP
POSTN,0.014410661437977533,2.655164509511161,UP
COL4A5,0.008704031377625356,1.6978456506295974,UP
TRBC2,0.004954823523921126,2.244142499965788,UP
PLXDC1,0.0034733877513789214,1.771357073363582,UP
CEACAM6,0.0020892603979691432,3.492091582653114,UP
C2,0.0007439266823962037,1.9432951141157293,UP
SFRP4,0.0006995913834491085,2.5644728175550298,UP
APLNR,0.0005974574368974547,2.7048234455045783,UP
MKI67,0.0005974574368974547,4.070988296050553,UP
SAA1,0.0005974574368974547,4.028586848712015,UP
