gen,q_value,Log2FC,sign
CA2,0.04960573539665136,1.2732120638684052,UP
WNT5A,0.049128852971739065,1.0110202528711831,UP
MIR181A1HG,0.04847124179011738,1.1821948584579092,UP
F2RL3,0.04846448043679084,1.0340830868697624,UP
IL1RN,0.04803737722571201,1.8705397862743824,UP
MS4A14,0.04704891212752828,1.9645373688575687,UP
PIK3R5,0.04702075737897608,1.356007197138629,UP
FAM124B,0.04668268524174362,1.8007386143288606,UP
C16orf89,0.0463482422745635,1.3110430094332832,UP
GJA5,0.0463482422745635,1.3619341137875103,UP
ADORA3,0.04603754980582396,1.449440502120129,UP
S1PR3,0.045966627322521124,1.0582928786132524,UP
RERGL,0.04595136824755171,1.3403475056175782,UP
PDE1A,0.045714072845157876,1.0014299700327025,UP
IKZF3,0.04539797549291402,1.5727373432479324,UP
CYSLTR1,0.04538741793376106,1.728521449266825,UP
FCN1,0.04505518081807279,1.6755588339737348,UP
TMEM11-DT,0.04505518081807279,1.193230925496546,UP
SLIT3,0.045026400736169,1.0460905332227373,UP
MPZL2,0.04480147221898174,1.2443908403418873,UP
ASPN,0.04461432177521877,1.155854500687288,UP
IGHG4,0.043792330192489654,2.939838776335879,UP
PAMR1,0.043662915243498746,1.344611376899703,UP
CENPU,0.04350069114647218,1.0788315134916122,UP
CCL13,0.04350069114647218,1.8468445640914202,UP
CXCL9,0.043344009247775414,2.624581011470669,UP
MSC,0.04305610800840392,1.3412102306375797,UP
,0.042909924050490295,1.0264758041976711,UP
CCRL2,0.0428409049636473,1.5106695347822792,UP
PRF1,0.04223728228323981,1.4526728247557525,UP
IQCA1,0.042031230111045766,1.4855496311757188,UP
VSIG2,0.041615053333014775,1.4801646828959956,UP
MXRA5,0.041151507701749634,1.1175061968325044,UP
SLFN11,0.04100213021215263,1.1571982513613484,UP
CD86,0.040979377131715726,1.4382917523300602,UP
KYNU,0.04077000990788445,1.5219681440158153,UP
ERAP2,0.040471327700897716,1.0067669425333758,UP
TNFAIP6,0.04004432070692842,1.197043954449188,UP
ZG16B,0.03988679828328453,1.642828586705503,UP
MSC-AS1,0.03901071711202653,1.0610510925462275,UP
IGHG2,0.03867372544123995,2.9380314069023146,UP
AQP1,0.038330108414324306,1.087913208659153,UP
PRRX1,0.0373787440371343,1.2318431713851732,UP
PRKCB,0.03670747784804114,1.458084701882948,UP
NUP210L,0.036061777231306866,-1.3696964350528957,DOWN
OGN,0.035825893273692795,1.0715617860559181,UP
LTBP1,0.03579675459447055,1.0166749171347604,UP
TLR2,0.03552206316107438,1.4143623830108722,UP
LYZ,0.03535291580439524,1.7710475103938907,UP
FABP3,0.03498888357666885,1.1853312416657227,UP
DACT1,0.03479438399922587,1.0830444651994793,UP
TRIM47,0.03405783044417933,1.1647273914124503,UP
ENPP3,0.03379632375845082,1.7158247046271229,UP
PCED1B-AS1,0.03363644514660963,1.1981402115480688,UP
FGR,0.03362403438494768,1.283865157785931,UP
