gen,q_value,Log2FC,sign
SPAG17,0.049696091061310864,1.1446097216220634,UP
MS4A7,0.04857747045133591,1.002885627870012,UP
LINC02268,0.04838054818408557,1.3369306701081338,UP
SAGE2P,0.048119485772421644,1.7172535081330311,UP
AQP1,0.0477668397851706,1.0530872373581501,UP
LINC01508,0.047727322986585476,1.1864266139921957,UP
GRIA1,0.04626484827049628,1.8752140570131943,UP
CHRDL1,0.045966748022661,1.154139071412873,UP
CFH,0.045931296485395144,1.0853464464337597,UP
POLN,0.04563149564205562,1.1121523697046098,UP
SFRP2,0.045591172479335286,1.1671832262207882,UP
TRAC,0.04549200961322581,1.3243270274493273,UP
COL1A2,0.0451676463666431,1.039621652205129,UP
,0.04503023818703079,1.0411042003078355,UP
LINC01976,0.04494080971125362,1.0938703480332774,UP
SP140,0.04494080971125362,1.448670432505222,UP
SLIT2,0.04408209191357473,1.040003619334242,UP
DLGAP2,0.04380476368160142,1.2150630873889625,UP
CCN2,0.04357635219904089,1.0539292006679417,UP
AC021504.1,0.043469972284907434,1.1679544166508669,UP
AIMP1P1,0.043151451633104555,1.0009412783005367,UP
CD33,0.04247232550239618,1.5716565267869376,UP
TPH1,0.04247232550239618,1.0720975041068266,UP
SYDE1,0.04247232550239618,1.025642659193593,UP
COLEC12,0.04247232550239618,1.1883050571864286,UP
IGFBP3,0.0420082742340772,1.0442754345299876,UP
SPP1,0.04169256504494367,1.1992896159427517,UP
MYO1F,0.04167077098599018,1.0553814592016693,UP
AC107398.3,0.040850823454316294,1.4629711871399815,UP
CD1D,0.040800635132102706,1.2508573610735572,UP
FGG,0.040734691507816355,2.1752782044753296,UP
RGS1,0.040734691507816355,1.276571677609028,UP
CCRL2,0.04048296356114437,1.5711613524080066,UP
LINC02432,0.04048296356114437,1.034479183489907,UP
AC022447.1,0.04048296356114437,1.058675612818462,UP
ZNF663P,0.04048296356114437,1.290415118915539,UP
ARHGAP6,0.0401856045574974,1.298516571514574,UP
DLSTP1,0.04008613181504454,1.0757834392184398,UP
IGHG4,0.039963496024170285,2.4976805173972476,UP
SELPLG,0.0393685641734272,1.3334306155778026,UP
THBS1-IT1,0.038927344822064794,1.4092315281597805,UP
RASL11A,0.038714006082592685,1.0345068632237426,UP
LILRB4,0.03859976160754252,1.4943680970576647,UP
ACP5,0.03856359285206116,1.4373620897456376,UP
FCGR3A,0.038409094920287885,1.035188504929864,UP
EPHB4,0.03838913794783348,1.07802006463527,UP
GPSM3,0.03827843106615997,1.0821419406720234,UP
FCN3,0.03793910443208088,1.4367700232976786,UP
,0.03783982059463157,1.4107962719779288,UP
